,week_end,Province,numtotal_atleast1dose,numtotal_partially,numtotal_fully,proptotal_atleast1dose,proptotal_partially,proptotal_fully,numeligible_atleast1dose,numeligible_partially,numeligible_fully,propeligible_atleast1dose,propeligible_partially,propeligible_fully
106,2021-02-13,NL,9792,4343.0,5449.0,1.88,0.83,1.04,,,,,,
107,2021-02-13,PEI,5690,797.0,4893.0,3.56,0.5,3.07,,,,,,
108,2021-02-13,NS,14727,6688.0,8039.0,1.5,0.68,0.82,,,,,,
109,2021-02-13,NB,13646,6148.0,7498.0,1.75,0.79,0.96,,,,,,
110,2021-02-13,QC,293734,293734.0,,3.43,3.43,,,,,,,
111,2021-02-13,ON,292983,118340.0,174643.0,1.99,0.8,1.19,,,,,,
112,2021-02-13,MB,34848,14442.0,20406.0,2.53,1.05,1.48,,,,,,
113,2021-02-13,SK,32867,23322.0,9545.0,2.79,1.98,0.81,,,,,,
114,2021-02-13,AB,94996,44314.0,50682.0,2.15,1.0,1.15,,,,,,
115,2021-02-13,BC,149182,126548.0,22634.0,2.9,2.46,0.44,,,,,,
116,2021-02-13,YT,10524,9657.0,867.0,25.03,22.96,2.06,,,,,,
117,2021-02-13,NT,13575,12996.0,579.0,30.06,28.78,1.28,,,,,,
118,2021-02-13,NU,6496,4362.0,2134.0,16.51,11.08,5.42,,,,,,
119,2021-02-20,CAN,1086501,651234.0,435267.0,2.86,1.71,1.15,,,,,,
120,2021-02-20,NL,10436,4324.0,6112.0,2.0,0.83,1.17,,,,,,
121,2021-02-20,PEI,6450,1294.0,5156.0,4.04,0.81,3.23,,,,,,
122,2021-02-20,NS,14915,6690.0,8225.0,1.52,0.68,0.84,,,,,,
123,2021-02-20,NB,15261,4234.0,11027.0,1.95,0.54,1.41,,,,,,
124,2021-02-20,QC,345979,345979.0,,4.03,4.03,,,,,,,
125,2021-02-20,ON,319915,84862.0,235053.0,2.17,0.58,1.6,,,,,,
126,2021-02-20,MB,36279,11082.0,25197.0,2.63,0.8,1.83,,,,,,
127,2021-02-20,SK,37764,21804.0,15960.0,3.2,1.85,1.35,,,,,,
128,2021-02-20,AB,103236,37048.0,66188.0,2.33,0.84,1.5,,,,,,
129,2021-02-20,BC,164163,108945.0,55218.0,3.19,2.12,1.07,,,,,,
130,2021-02-20,YT,10613,9523.0,1090.0,25.24,22.65,2.59,,,,,,
131,2021-02-20,NT,14517,12583.0,1934.0,32.14,27.86,4.28,,,,,,
132,2021-02-20,NU,6973,2866.0,4107.0,17.72,7.28,10.44,,,,,,
133,2021-02-27,CAN,1381403,843004.0,538399.0,3.63,2.22,1.42,,,,,,
134,2021-02-27,NL,16623,8411.0,8212.0,3.18,1.61,1.57,,,,,,
135,2021-02-27,PEI,7363,2151.0,5212.0,4.61,1.35,3.27,,,,,,
136,2021-02-27,NS,19734,7116.0,12618.0,2.02,0.73,1.29,,,,,,
137,2021-02-27,NB,21676,9544.0,12132.0,2.77,1.22,1.55,,,,,,
138,2021-02-27,QC,431743,431743.0,,5.04,5.04,,,,,,,
139,2021-02-27,ON,425162,163239.0,261923.0,2.89,1.11,1.78,,,,,,
140,2021-02-27,MB,46651,17675.0,28976.0,3.38,1.28,2.1,,,,,,
141,2021-02-27,SK,46285,22829.0,23456.0,3.93,1.94,1.99,,,,,,
142,2021-02-27,AB,139961,52554.0,87407.0,3.17,1.19,1.98,,,,,,
143,2021-02-27,BC,192637,108615.0,84022.0,3.74,2.11,1.63,,,,,,
144,2021-02-27,YT,10958,6156.0,4802.0,26.06,14.64,11.42,,,,,,
145,2021-02-27,NT,15214,10656.0,4558.0,33.69,23.6,10.09,,,,,,
146,2021-02-27,NU,7396,2315.0,5081.0,18.79,5.88,12.91,,,,,,
147,2021-03-06,CAN,1854791,1281130.0,573661.0,4.88,3.37,1.51,,,,,,
